country,esco,date,count
IRELAND,Managers,2015-04-01,3
UNITED KINGDOM,Clerical support workers,2014-11-01,10
ČESKÁ REPUBLIKA,Clerical support workers,2015-10-01,2033
UNITED KINGDOM,Service and sales workers,2015-02-01,152
UNITED KINGDOM,Professionals,2014-09-01,43
UNITED KINGDOM,Professionals,2014-10-01,31
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-12-01,1
ITALIA,Technicians and associate professionals,2014-02-01,6
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2014-02-01,1
DEUTSCHLAND,Professionals,2016-03-01,2340
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-09-01,3159
ITALIA,Managers,2016-01-01,876
DEUTSCHLAND,Craft and related trades workers,2015-06-01,75108
DEUTSCHLAND,Craft and related trades workers,2014-08-01,59
DEUTSCHLAND,Craft and related trades workers,2013-01-01,31
UNITED KINGDOM,Service and sales workers,2014-11-01,10
UNITED KINGDOM,Managers,2013-08-01,4
UNITED KINGDOM,Professionals,2011-05-01,1
DEUTSCHLAND,"Plant and machine operators, and assemblers",2016-04-01,10143
ITALIA,Technicians and associate professionals,2015-08-01,234334
ITALIA,Managers,2016-03-01,1342
DEUTSCHLAND,Professionals,2013-11-01,17
ČESKÁ REPUBLIKA,Service and sales workers,2016-02-01,3108
ČESKÁ REPUBLIKA,Technicians and associate professionals,2013-07-01,1
DEUTSCHLAND,Managers,2012-04-01,7
ITALIA,Technicians and associate professionals,2014-10-01,7
DEUTSCHLAND,Craft and related trades workers,2013-03-01,20
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-08-01,20
ITALIA,Craft and related trades workers,2015-11-01,4072
ITALIA,"Plant and machine operators, and assemblers",2016-01-01,1544
DEUTSCHLAND,Craft and related trades workers,2015-09-01,44582
DEUTSCHLAND,"Plant and machine operators, and assemblers",2016-06-01,5725
IRELAND,"Plant and machine operators, and assemblers",2015-08-01,206
IRELAND,"Plant and machine operators, and assemblers",2015-11-01,185
IRELAND,Elementary occupations,2016-05-01,703
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-02-01,99
DEUTSCHLAND,Clerical support workers,2011-12-01,15
ITALIA,Professionals,2015-02-01,47
UNITED KINGDOM,Craft and related trades workers,2014-10-01,1
ITALIA,Professionals,2013-05-01,1
ITALIA,"Skilled agricultural, forestry and fishery workers",2016-03-01,30
UNITED KINGDOM,Technicians and associate professionals,2014-12-01,33
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-02-01,22
DEUTSCHLAND,Professionals,2012-03-01,8
UNITED KINGDOM,Technicians and associate professionals,2015-03-01,189
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-03-01,2
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-02-01,2
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-11-01,2344
DEUTSCHLAND,Professionals,2015-10-01,28437
UNITED KINGDOM,Clerical support workers,2015-10-01,6386
ČESKÁ REPUBLIKA,Professionals,2014-06-01,17
DEUTSCHLAND,Professionals,2012-08-01,37
IRELAND,Elementary occupations,2015-12-01,486
DEUTSCHLAND,Clerical support workers,2012-04-01,12
DEUTSCHLAND,Technicians and associate professionals,2012-06-01,5
UNITED KINGDOM,Professionals,2012-07-01,1
ITALIA,Clerical support workers,2015-09-01,215748
ITALIA,Technicians and associate professionals,2015-04-01,2860
UNITED KINGDOM,Technicians and associate professionals,2015-12-01,41559
UNITED KINGDOM,Clerical support workers,2013-10-01,40
UNITED KINGDOM,Managers,2012-07-01,2
ITALIA,Managers,2015-08-01,9321
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-12-01,2004
UNITED KINGDOM,Clerical support workers,2015-06-01,33528
UNITED KINGDOM,Clerical support workers,2016-04-01,27503
DEUTSCHLAND,Technicians and associate professionals,2015-09-01,25791
IRELAND,Service and sales workers,2015-10-01,2544
ITALIA,"Plant and machine operators, and assemblers",2015-11-01,2492
ČESKÁ REPUBLIKA,Technicians and associate professionals,2016-02-01,2848
UNITED KINGDOM,Technicians and associate professionals,2014-07-01,15
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-01-01,4
ITALIA,Managers,2015-02-01,4
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-10-01,2
ITALIA,Technicians and associate professionals,2013-05-01,1
UNITED KINGDOM,Elementary occupations,2013-04-01,1
DEUTSCHLAND,Clerical support workers,2016-04-01,20629
ČESKÁ REPUBLIKA,Service and sales workers,2014-11-01,32
ITALIA,"Plant and machine operators, and assemblers",2015-04-01,1132
ČESKÁ REPUBLIKA,Professionals,2015-07-01,1969
UNITED KINGDOM,Elementary occupations,2016-01-01,7002
IRELAND,Managers,2015-12-01,5369
DEUTSCHLAND,Managers,2013-05-01,10
UNITED KINGDOM,Clerical support workers,2013-03-01,1
ČESKÁ REPUBLIKA,Service and sales workers,2015-09-01,4069
ITALIA,Service and sales workers,2015-09-01,143257
IRELAND,Technicians and associate professionals,2016-06-01,5160
DEUTSCHLAND,Managers,2016-01-01,5631
IRELAND,Managers,2016-01-01,5987
UNITED KINGDOM,Service and sales workers,2014-08-01,6
DEUTSCHLAND,Professionals,2013-09-01,20
UNITED KINGDOM,Technicians and associate professionals,2013-06-01,4
ITALIA,Elementary occupations,2015-02-01,1
ČESKÁ REPUBLIKA,Clerical support workers,2015-11-01,1769
ITALIA,Craft and related trades workers,2015-07-01,24234
UNITED KINGDOM,Clerical support workers,2015-09-01,28676
DEUTSCHLAND,Elementary occupations,2014-11-01,33
UNITED KINGDOM,Managers,2012-01-01,1
DEUTSCHLAND,Service and sales workers,2015-06-01,34537
UNITED KINGDOM,Craft and related trades workers,2016-04-01,13748
ITALIA,"Skilled agricultural, forestry and fishery workers",2016-02-01,25
DEUTSCHLAND,Elementary occupations,2013-06-01,8
DEUTSCHLAND,Elementary occupations,2013-03-01,9
ČESKÁ REPUBLIKA,Managers,2014-09-01,6
ITALIA,Craft and related trades workers,2014-11-01,1
ITALIA,Professionals,2016-02-01,6978
IRELAND,"Plant and machine operators, and assemblers",2015-10-01,480
IRELAND,Craft and related trades workers,2016-04-01,342
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2016-03-01,82
DEUTSCHLAND,Professionals,2013-02-01,42
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-10-01,41
UNITED KINGDOM,Managers,2014-03-01,15
ČESKÁ REPUBLIKA,Managers,2014-06-01,3
ČESKÁ REPUBLIKA,Managers,2015-09-01,422
DEUTSCHLAND,Craft and related trades workers,2014-04-01,51
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-01-01,74
ITALIA,Service and sales workers,2014-03-01,2
ITALIA,Technicians and associate professionals,2013-09-01,1
ITALIA,Technicians and associate professionals,2014-08-01,3
UNITED KINGDOM,Service and sales workers,2013-04-01,2
UNITED KINGDOM,Clerical support workers,2014-03-01,2
DEUTSCHLAND,Clerical support workers,2015-06-01,44545
DEUTSCHLAND,Professionals,2015-06-01,41871
ITALIA,Elementary occupations,2016-04-01,2350
ITALIA,Elementary occupations,2016-05-01,3119
ČESKÁ REPUBLIKA,Professionals,2016-01-01,1904
DEUTSCHLAND,Professionals,2013-10-01,14
UNITED KINGDOM,Managers,2015-02-01,53
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-11-01,8
DEUTSCHLAND,Craft and related trades workers,2012-10-01,14
UNITED KINGDOM,Clerical support workers,2012-03-01,3
DEUTSCHLAND,Elementary occupations,2012-01-01,4
UNITED KINGDOM,Service and sales workers,2014-05-01,3
UNITED KINGDOM,Craft and related trades workers,2014-12-01,1
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-07-01,96
DEUTSCHLAND,Clerical support workers,2014-05-01,50
ITALIA,Craft and related trades workers,2015-09-01,186169
IRELAND,Service and sales workers,2015-09-01,2527
UNITED KINGDOM,Craft and related trades workers,2014-06-01,1
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-11-01,58
ČESKÁ REPUBLIKA,Professionals,2014-12-01,55
ČESKÁ REPUBLIKA,Clerical support workers,2014-06-01,5
IRELAND,"Plant and machine operators, and assemblers",2015-07-01,194
DEUTSCHLAND,Professionals,2014-01-01,42
IRELAND,"Skilled agricultural, forestry and fishery workers",2016-06-01,6
UNITED KINGDOM,Technicians and associate professionals,2014-08-01,6
DEUTSCHLAND,Service and sales workers,2014-03-01,9
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-10-01,18
ITALIA,Clerical support workers,2016-03-01,5862
DEUTSCHLAND,Managers,2016-05-01,4300
UNITED KINGDOM,Craft and related trades workers,2015-08-01,17317
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-01-01,36
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-04-01,37
DEUTSCHLAND,Managers,2015-03-01,69
UNITED KINGDOM,Service and sales workers,2014-12-01,24
UNITED KINGDOM,Professionals,2014-06-01,14
UNITED KINGDOM,Managers,2011-10-01,1
DEUTSCHLAND,Elementary occupations,2015-05-01,19220
ITALIA,Service and sales workers,2015-06-01,7938
UNITED KINGDOM,Professionals,2016-05-01,159559
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-08-01,548
ČESKÁ REPUBLIKA,Professionals,2015-02-01,238
IRELAND,Technicians and associate professionals,2015-07-01,6164
UNITED KINGDOM,Craft and related trades workers,2015-05-01,6605
DEUTSCHLAND,Clerical support workers,2013-12-01,24
DEUTSCHLAND,Technicians and associate professionals,2015-01-01,116
ITALIA,"Skilled agricultural, forestry and fishery workers",2015-12-01,15
ČESKÁ REPUBLIKA,Clerical support workers,2016-02-01,1962
ITALIA,Service and sales workers,2014-10-01,2
ČESKÁ REPUBLIKA,Elementary occupations,2015-04-01,668
UNITED KINGDOM,Elementary occupations,2016-05-01,15827
ČESKÁ REPUBLIKA,Technicians and associate professionals,2016-03-01,3418
UNITED KINGDOM,Managers,2015-03-01,146
ITALIA,Professionals,2013-11-01,3
IRELAND,Elementary occupations,2016-02-01,501
DEUTSCHLAND,Managers,2014-01-01,9
DEUTSCHLAND,Elementary occupations,2015-07-01,56544
DEUTSCHLAND,Technicians and associate professionals,2015-03-01,286
DEUTSCHLAND,Clerical support workers,2016-01-01,29341
ITALIA,Elementary occupations,2016-06-01,2056
IRELAND,Elementary occupations,2015-07-01,409
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2016-02-01,3055
ČESKÁ REPUBLIKA,Managers,2016-03-01,340
DEUTSCHLAND,Managers,2013-11-01,10
DEUTSCHLAND,Managers,2011-12-01,8
UNITED KINGDOM,Technicians and associate professionals,2014-02-01,16
UNITED KINGDOM,Professionals,2013-11-01,4
ITALIA,Elementary occupations,2015-03-01,1
DEUTSCHLAND,Elementary occupations,2016-06-01,11442
ITALIA,Technicians and associate professionals,2015-11-01,9901
UNITED KINGDOM,Professionals,2015-12-01,66977
UNITED KINGDOM,Managers,2015-09-01,81446
IRELAND,Service and sales workers,2016-03-01,2233
IRELAND,"Skilled agricultural, forestry and fishery workers",2016-01-01,7
DEUTSCHLAND,Professionals,2016-01-01,29312
ČESKÁ REPUBLIKA,Service and sales workers,2014-09-01,22
DEUTSCHLAND,Technicians and associate professionals,2015-12-01,28377
DEUTSCHLAND,Technicians and associate professionals,2016-05-01,26184
UNITED KINGDOM,Elementary occupations,2015-06-01,12552
DEUTSCHLAND,Professionals,2013-01-01,45
DEUTSCHLAND,Clerical support workers,2014-01-01,28
UNITED KINGDOM,Technicians and associate professionals,2013-04-01,9
DEUTSCHLAND,Technicians and associate professionals,2012-02-01,6
DEUTSCHLAND,Elementary occupations,2014-01-01,17
ČESKÁ REPUBLIKA,Clerical support workers,2010-05-01,2
DEUTSCHLAND,Elementary occupations,2015-10-01,51884
ČESKÁ REPUBLIKA,Service and sales workers,2015-11-01,2976
ČESKÁ REPUBLIKA,Professionals,2015-12-01,1430
DEUTSCHLAND,Elementary occupations,2014-08-01,29
DEUTSCHLAND,Service and sales workers,2015-09-01,18989
IRELAND,Technicians and associate professionals,2015-10-01,9300
UNITED KINGDOM,Craft and related trades workers,2016-05-01,18242
ITALIA,Professionals,2015-10-01,8742
IRELAND,"Plant and machine operators, and assemblers",2016-04-01,230
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-07-01,21
UNITED KINGDOM,Professionals,2015-03-01,278
UNITED KINGDOM,Technicians and associate professionals,2015-02-01,61
DEUTSCHLAND,Managers,2014-11-01,21
ITALIA,Technicians and associate professionals,2014-04-01,8
DEUTSCHLAND,Technicians and associate professionals,2012-09-01,15
UNITED KINGDOM,"Plant and machine operators, and assemblers",2014-11-01,3
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-06-01,1
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2016-01-01,787
DEUTSCHLAND,Professionals,2013-05-01,15
DEUTSCHLAND,Professionals,2011-11-01,9
ČESKÁ REPUBLIKA,Professionals,2014-03-01,3
ITALIA,Managers,2016-04-01,1391
UNITED KINGDOM,Professionals,2016-03-01,114679
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-08-01,33
DEUTSCHLAND,Craft and related trades workers,2016-06-01,20618
IRELAND,Managers,2015-11-01,6082
UNITED KINGDOM,Technicians and associate professionals,2015-04-01,373
ITALIA,Clerical support workers,2014-03-01,1
UNITED KINGDOM,Elementary occupations,2012-04-01,1
DEUTSCHLAND,Service and sales workers,2015-05-01,14616
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-12-01,75
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-07-01,34
IRELAND,Service and sales workers,2016-06-01,1399
DEUTSCHLAND,Craft and related trades workers,2013-07-01,21
UNITED KINGDOM,Service and sales workers,2014-09-01,57
DEUTSCHLAND,Elementary occupations,2013-08-01,13
DEUTSCHLAND,"Plant and machine operators, and assemblers",2011-12-01,12
ITALIA,"Plant and machine operators, and assemblers",2014-11-01,1
ITALIA,Technicians and associate professionals,2013-10-01,6
DEUTSCHLAND,Service and sales workers,2016-04-01,8740
UNITED KINGDOM,Managers,2016-04-01,70772
DEUTSCHLAND,Technicians and associate professionals,2012-11-01,12
ČESKÁ REPUBLIKA,Managers,2016-06-01,253
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-10-01,9
ITALIA,Craft and related trades workers,2015-05-01,3154
ITALIA,Service and sales workers,2016-01-01,2043
DEUTSCHLAND,Service and sales workers,2015-01-01,117
DEUTSCHLAND,Elementary occupations,2013-05-01,15
ČESKÁ REPUBLIKA,Clerical support workers,2014-02-01,4
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-05-01,4
IRELAND,Clerical support workers,2015-04-01,5
ITALIA,Professionals,2016-06-01,6667
ITALIA,Craft and related trades workers,2015-12-01,3543
DEUTSCHLAND,Managers,2015-10-01,5978
DEUTSCHLAND,Technicians and associate professionals,2014-12-01,94
DEUTSCHLAND,Elementary occupations,2012-03-01,3
UNITED KINGDOM,Managers,2015-06-01,85041
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2014-12-01,18
DEUTSCHLAND,Service and sales workers,2014-10-01,27
ITALIA,Managers,2014-09-01,3
UNITED KINGDOM,Technicians and associate professionals,2015-09-01,81835
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-11-01,22
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-08-01,14830
DEUTSCHLAND,Service and sales workers,2015-02-01,101
ITALIA,Clerical support workers,2013-10-01,3
ITALIA,Clerical support workers,2014-11-01,3
UNITED KINGDOM,Professionals,2010-11-01,2
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-08-01,3009
UNITED KINGDOM,Technicians and associate professionals,2016-03-01,71500
DEUTSCHLAND,Clerical support workers,2014-09-01,35
UNITED KINGDOM,Professionals,2015-01-01,125
DEUTSCHLAND,Technicians and associate professionals,2011-11-01,1
ČESKÁ REPUBLIKA,Clerical support workers,2015-05-01,1604
ČESKÁ REPUBLIKA,Professionals,2015-09-01,2062
DEUTSCHLAND,"Plant and machine operators, and assemblers",2011-11-01,5
UNITED KINGDOM,Clerical support workers,2016-05-01,36392
DEUTSCHLAND,Craft and related trades workers,2012-07-01,10
ITALIA,"Skilled agricultural, forestry and fishery workers",2016-05-01,28
ITALIA,Professionals,2014-11-01,5
ITALIA,Craft and related trades workers,2013-09-01,2
DEUTSCHLAND,Service and sales workers,2012-03-01,7
DEUTSCHLAND,Service and sales workers,2012-08-01,3
DEUTSCHLAND,Technicians and associate professionals,2015-11-01,36225
UNITED KINGDOM,Managers,2016-03-01,63635
DEUTSCHLAND,Service and sales workers,2015-10-01,31534
ČESKÁ REPUBLIKA,Craft and related trades workers,2016-06-01,2392
DEUTSCHLAND,Technicians and associate professionals,2013-05-01,13
ITALIA,Technicians and associate professionals,2015-03-01,58
DEUTSCHLAND,Clerical support workers,2012-05-01,18
ITALIA,Professionals,2014-03-01,10
ČESKÁ REPUBLIKA,Service and sales workers,2015-07-01,2889
UNITED KINGDOM,Professionals,2015-11-01,67765
ČESKÁ REPUBLIKA,Professionals,2014-05-01,3
IRELAND,Elementary occupations,2015-09-01,827
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-04-01,490
DEUTSCHLAND,Clerical support workers,2014-07-01,37
ITALIA,"Skilled agricultural, forestry and fishery workers",2015-10-01,17
DEUTSCHLAND,Clerical support workers,2014-02-01,31
ITALIA,Craft and related trades workers,2015-06-01,7045
UNITED KINGDOM,Managers,2016-01-01,58995
UNITED KINGDOM,Professionals,2016-06-01,128314
DEUTSCHLAND,Managers,2015-07-01,5330
ČESKÁ REPUBLIKA,Managers,2016-05-01,353
DEUTSCHLAND,Craft and related trades workers,2013-02-01,24
DEUTSCHLAND,Elementary occupations,2014-07-01,21
UNITED KINGDOM,Craft and related trades workers,2014-03-01,1
DEUTSCHLAND,Elementary occupations,2013-07-01,9
UNITED KINGDOM,"Plant and machine operators, and assemblers",2014-05-01,1
UNITED KINGDOM,Craft and related trades workers,2014-02-01,2
ČESKÁ REPUBLIKA,Clerical support workers,2015-04-01,392
IRELAND,Professionals,2015-07-01,10048
DEUTSCHLAND,Professionals,2015-08-01,25079
ČESKÁ REPUBLIKA,Professionals,2014-07-01,12
DEUTSCHLAND,Managers,2013-08-01,6
UNITED KINGDOM,Clerical support workers,2015-02-01,29
DEUTSCHLAND,Service and sales workers,2014-11-01,33
UNITED KINGDOM,Technicians and associate professionals,2013-07-01,11
ČESKÁ REPUBLIKA,Clerical support workers,2015-01-01,41
ČESKÁ REPUBLIKA,Professionals,2016-03-01,2243
UNITED KINGDOM,Professionals,2014-11-01,48
UNITED KINGDOM,Technicians and associate professionals,2014-01-01,14
ITALIA,Professionals,2013-09-01,2
ČESKÁ REPUBLIKA,Elementary occupations,2015-03-01,278
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-11-01,2684
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-05-01,615
IRELAND,Clerical support workers,2016-02-01,2062
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-06-01,48
DEUTSCHLAND,Elementary occupations,2013-11-01,16
DEUTSCHLAND,Service and sales workers,2013-07-01,7
DEUTSCHLAND,Managers,2014-09-01,10
DEUTSCHLAND,Elementary occupations,2012-06-01,10
UNITED KINGDOM,Clerical support workers,2014-07-01,1
DEUTSCHLAND,"Plant and machine operators, and assemblers",2016-03-01,6280
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2015-09-01,347
DEUTSCHLAND,Technicians and associate professionals,2013-03-01,13
DEUTSCHLAND,Clerical support workers,2013-09-01,8
ČESKÁ REPUBLIKA,Managers,2015-01-01,18
IRELAND,"Skilled agricultural, forestry and fishery workers",2015-11-01,1
DEUTSCHLAND,Service and sales workers,2011-11-01,1
ČESKÁ REPUBLIKA,Clerical support workers,2015-06-01,2055
DEUTSCHLAND,Clerical support workers,2013-05-01,19
ITALIA,Clerical support workers,2015-04-01,1417
DEUTSCHLAND,Craft and related trades workers,2015-01-01,146
ČESKÁ REPUBLIKA,Professionals,2016-04-01,2409
DEUTSCHLAND,Service and sales workers,2015-11-01,24556
DEUTSCHLAND,Technicians and associate professionals,2014-09-01,16
ČESKÁ REPUBLIKA,Clerical support workers,2016-03-01,2320
UNITED KINGDOM,Professionals,2011-06-01,1
DEUTSCHLAND,Clerical support workers,2012-02-01,15
ITALIA,Elementary occupations,2015-09-01,95342
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-09-01,22
IRELAND,Managers,2015-06-01,5462
IRELAND,Service and sales workers,2015-08-01,1977
ITALIA,Technicians and associate professionals,2014-01-01,2
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2016-05-01,108
DEUTSCHLAND,Service and sales workers,2012-09-01,7
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-09-01,3
DEUTSCHLAND,Managers,2012-02-01,1
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-07-01,16056
UNITED KINGDOM,Technicians and associate professionals,2016-04-01,78427
DEUTSCHLAND,Clerical support workers,2013-11-01,41
ITALIA,Professionals,2015-03-01,54
DEUTSCHLAND,Service and sales workers,2012-10-01,4
UNITED KINGDOM,Professionals,2010-10-01,4
DEUTSCHLAND,Managers,2012-06-01,3
ČESKÁ REPUBLIKA,Service and sales workers,2015-10-01,3772
DEUTSCHLAND,Service and sales workers,2016-05-01,15165
ITALIA,Technicians and associate professionals,2016-01-01,6604
IRELAND,Technicians and associate professionals,2016-02-01,6929
UNITED KINGDOM,"Plant and machine operators, and assemblers",2016-03-01,8984
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-09-01,30
UNITED KINGDOM,Technicians and associate professionals,2014-11-01,32
UNITED KINGDOM,Technicians and associate professionals,2013-10-01,10
UNITED KINGDOM,Technicians and associate professionals,2013-09-01,2
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2014-12-01,1
UNITED KINGDOM,Managers,2016-06-01,78287
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2016-03-01,146
ITALIA,Service and sales workers,2015-05-01,2490
DEUTSCHLAND,Professionals,2015-07-01,29667
DEUTSCHLAND,Managers,2015-05-01,3006
IRELAND,Professionals,2016-03-01,12934
UNITED KINGDOM,Elementary occupations,2015-10-01,3475
UNITED KINGDOM,Elementary occupations,2015-02-01,62
UNITED KINGDOM,Managers,2014-06-01,25
ČESKÁ REPUBLIKA,Managers,2016-02-01,346
UNITED KINGDOM,Professionals,2014-03-01,20
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-03-01,3
ITALIA,"Plant and machine operators, and assemblers",2014-12-01,1
DEUTSCHLAND,Professionals,2015-12-01,24361
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-02-01,143
UNITED KINGDOM,Service and sales workers,2016-02-01,27121
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2016-01-01,224
DEUTSCHLAND,Technicians and associate professionals,2012-01-01,15
UNITED KINGDOM,Clerical support workers,2013-09-01,3
