country,esco,S_YEAR_MONTH,count,date
Malta,"Plant and machine operators, and assemblers",2016/02,9,2016-02-01
Slovakia,"Skilled agricultural, forestry and fishery workers",2015/11,16,2015-11-01
Cyprus,"Skilled agricultural, forestry and fishery workers",2015/05,5,2015-05-01
Poland,Craft and related trades workers,2015/03,860,2015-03-01
Portugal,Elementary occupations,2015/03,333,2015-03-01
Belgium,Managers,2015/05,258,2015-05-01
Romania,Elementary occupations,2015/05,1375,2015-05-01
Bulgaria,Managers,2015/06,531,2015-06-01
Belgium,Elementary occupations,2015/06,54,2015-06-01
Greece,Service and sales workers,2015/08,596,2015-08-01
Slovenia,Craft and related trades workers,2015/11,166,2015-11-01
Netherlands,Technicians and associate professionals,2015/11,412,2015-11-01
Italy,Service and sales workers,2015/12,6983,2015-12-01
Romania,"Plant and machine operators, and assemblers",2016/01,1535,2016-01-01
Hungary,"Plant and machine operators, and assemblers",2016/04,409,2016-04-01
France,Professionals,2016/06,4701,2016-06-01
Poland,Managers,2016/09,740,2016-09-01
Lithuania,Professionals,2016/11,916,2016-11-01
Germany,Managers,2016/11,903,2016-11-01
Germany,"Skilled agricultural, forestry and fishery workers",2016/11,46,2016-11-01
Czech Republic,Managers,2015/05,141,2015-05-01
Greece,Elementary occupations,2015/09,344,2015-09-01
Sweden,Service and sales workers,2015/09,258,2015-09-01
Italy,Armed forces occupations,2015/09,9,2015-09-01
Lithuania,Craft and related trades workers,2015/10,176,2015-10-01
Austria,Technicians and associate professionals,2016/07,210,2016-07-01
Latvia,Technicians and associate professionals,2015/04,246,2015-04-01
United Kingdom,Service and sales workers,2016/04,292,2016-04-01
Finland,Craft and related trades workers,2016/09,166,2016-09-01
Lithuania,"Plant and machine operators, and assemblers",2015/06,138,2015-06-01
Belgium,"Plant and machine operators, and assemblers",2015/08,43,2015-08-01
Luxembourg,Managers,2016/01,18,2016-01-01
France,Elementary occupations,2015/04,150,2015-04-01
United Kingdom,"Skilled agricultural, forestry and fishery workers",2015/10,19,2015-10-01
Estonia,"Skilled agricultural, forestry and fishery workers",2015/06,32,2015-06-01
Italy,Armed forces occupations,2015/08,9,2015-08-01
Austria,Elementary occupations,2015/08,10,2015-08-01
Romania,Armed forces occupations,2016/02,5,2016-02-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2015/07,1,2015-07-01
Luxembourg,"Plant and machine operators, and assemblers",2015/11,1,2015-11-01
Portugal,Technicians and associate professionals,2015/03,1946,2015-03-01
Italy,Professionals,2015/09,24070,2015-09-01
Greece,Technicians and associate professionals,2015/09,1634,2015-09-01
Germany,Technicians and associate professionals,2015/11,802,2015-11-01
Malta,Managers,2015/11,47,2015-11-01
Germany,Professionals,2016/01,2266,2016-01-01
Spain,Clerical support workers,2016/02,4646,2016-02-01
Romania,Managers,2016/02,1018,2016-02-01
Spain,Craft and related trades workers,2016/03,2012,2016-03-01
Cyprus,Professionals,2016/03,579,2016-03-01
Belgium,Clerical support workers,2016/03,445,2016-03-01
Romania,Craft and related trades workers,2016/06,1794,2016-06-01
Czech Republic,Technicians and associate professionals,2016/06,516,2016-06-01
Finland,Clerical support workers,2016/07,549,2016-07-01
Portugal,Service and sales workers,2016/07,1256,2016-07-01
Denmark,Technicians and associate professionals,2016/09,137,2016-09-01
Germany,Craft and related trades workers,2015/06,166,2015-06-01
Latvia,Service and sales workers,2015/06,84,2015-06-01
Hungary,"Skilled agricultural, forestry and fishery workers",2015/07,80,2015-07-01
Belgium,Technicians and associate professionals,2016/01,685,2016-01-01
Hungary,Managers,2016/03,568,2016-03-01
Slovakia,Elementary occupations,2016/05,123,2016-05-01
Estonia,Managers,2016/08,172,2016-08-01
Czech Republic,Elementary occupations,2016/01,241,2016-01-01
United Kingdom,Elementary occupations,2015/07,72,2015-07-01
Slovakia,Clerical support workers,2016/09,172,2016-09-01
Cyprus,Managers,2016/11,126,2016-11-01
Latvia,Elementary occupations,2016/11,138,2016-11-01
Belgium,"Plant and machine operators, and assemblers",2015/03,38,2015-03-01
Cyprus,Service and sales workers,2016/07,55,2016-07-01
Malta,"Plant and machine operators, and assemblers",2016/03,9,2016-03-01
Austria,Elementary occupations,2016/01,18,2016-01-01
Denmark,"Plant and machine operators, and assemblers",2015/11,9,2015-11-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2015/08,28,2015-08-01
Luxembourg,"Plant and machine operators, and assemblers",2016/03,3,2016-03-01
Malta,"Skilled agricultural, forestry and fishery workers",2016/05,5,2016-05-01
Luxembourg,Service and sales workers,2016/09,9,2016-09-01
Slovenia,Managers,2015/05,197,2015-05-01
Spain,Service and sales workers,2015/06,3833,2015-06-01
Romania,Technicians and associate professionals,2015/07,2096,2015-07-01
Portugal,Technicians and associate professionals,2015/08,2313,2015-08-01
Romania,Service and sales workers,2015/08,1475,2015-08-01
Spain,Managers,2015/08,2342,2015-08-01
Portugal,"Plant and machine operators, and assemblers",2015/08,318,2015-08-01
Cyprus,Professionals,2015/09,493,2015-09-01
Hungary,Service and sales workers,2015/11,1306,2015-11-01
Bulgaria,Professionals,2015/11,2103,2015-11-01
Finland,Elementary occupations,2015/12,213,2015-12-01
Greece,Clerical support workers,2015/12,1004,2015-12-01
Bulgaria,Service and sales workers,2016/01,1065,2016-01-01
Lithuania,Professionals,2016/01,713,2016-01-01
Italy,Clerical support workers,2016/04,10174,2016-04-01
Sweden,Technicians and associate professionals,2016/04,397,2016-04-01
Croatia,Craft and related trades workers,2016/05,1644,2016-05-01
Italy,"Plant and machine operators, and assemblers",2016/06,1894,2016-06-01
France,Clerical support workers,2016/08,1043,2016-08-01
Lithuania,Service and sales workers,2016/09,352,2016-09-01
Estonia,Managers,2016/09,174,2016-09-01
Spain,Clerical support workers,2016/10,5486,2016-10-01
Italy,Craft and related trades workers,2016/10,3504,2016-10-01
Finland,Clerical support workers,2016/11,588,2016-11-01
Slovakia,Service and sales workers,2015/05,94,2015-05-01
Estonia,Clerical support workers,2016/07,148,2016-07-01
Estonia,Elementary occupations,2016/08,128,2016-08-01
Austria,Clerical support workers,2016/10,150,2016-10-01
Poland,"Skilled agricultural, forestry and fishery workers",2016/02,196,2016-02-01
Austria,Service and sales workers,2016/08,98,2016-08-01
Slovakia,Craft and related trades workers,2016/04,62,2016-04-01
Netherlands,Service and sales workers,2015/08,207,2015-08-01
Netherlands,"Plant and machine operators, and assemblers",2015/12,58,2015-12-01
Netherlands,Craft and related trades workers,2015/04,78,2015-04-01
Slovakia,Elementary occupations,2015/07,101,2015-07-01
Portugal,"Skilled agricultural, forestry and fishery workers",2015/03,38,2015-03-01
Denmark,"Skilled agricultural, forestry and fishery workers",2015/08,1,2015-08-01
Croatia,Service and sales workers,2015/05,1283,2015-05-01
Lithuania,Craft and related trades workers,2015/05,132,2015-05-01
Belgium,Technicians and associate professionals,2015/07,531,2015-07-01
Portugal,Managers,2015/07,720,2015-07-01
Hungary,Technicians and associate professionals,2015/08,1470,2015-08-01
Romania,Managers,2015/08,808,2015-08-01
Romania,Craft and related trades workers,2015/10,1513,2015-10-01
Czech Republic,Craft and related trades workers,2015/10,153,2015-10-01
Hungary,Managers,2015/11,526,2015-11-01
Germany,Technicians and associate professionals,2015/12,831,2015-12-01
Italy,"Plant and machine operators, and assemblers",2016/01,1702,2016-01-01
Estonia,Clerical support workers,2016/04,137,2016-04-01
Poland,Technicians and associate professionals,2016/05,1861,2016-05-01
Spain,Service and sales workers,2016/07,5630,2016-07-01
Portugal,Service and sales workers,2016/08,1293,2016-08-01
Finland,Professionals,2016/08,1802,2016-08-01
Greece,"Skilled agricultural, forestry and fishery workers",2016/09,59,2016-09-01
France,Clerical support workers,2016/09,1054,2016-09-01
Czech Republic,Managers,2016/10,262,2016-10-01
Italy,Armed forces occupations,2016/11,15,2016-11-01
Germany,Clerical support workers,2015/07,408,2015-07-01
United Kingdom,Craft and related trades workers,2015/08,62,2015-08-01
Germany,Clerical support workers,2016/02,544,2016-02-01
Germany,Elementary occupations,2016/07,119,2016-07-01
Netherlands,Service and sales workers,2016/07,293,2016-07-01
Latvia,Technicians and associate professionals,2016/07,223,2016-07-01
Spain,"Skilled agricultural, forestry and fishery workers",2015/05,368,2015-05-01
Poland,"Skilled agricultural, forestry and fishery workers",2015/08,165,2015-08-01
Austria,Managers,2015/11,83,2015-11-01
Sweden,Elementary occupations,2015/12,50,2015-12-01
Slovakia,"Plant and machine operators, and assemblers",2015/11,47,2015-11-01
Netherlands,"Skilled agricultural, forestry and fishery workers",2015/07,17,2015-07-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2015/12,30,2015-12-01
Belgium,"Skilled agricultural, forestry and fishery workers",2015/11,9,2015-11-01
Bulgaria,Armed forces occupations,2016/01,1,2016-01-01
Italy,Clerical support workers,2015/04,13698,2015-04-01
Romania,Service and sales workers,2015/04,2438,2015-04-01
Romania,Craft and related trades workers,2015/04,2440,2015-04-01
Portugal,Clerical support workers,2015/06,754,2015-06-01
Denmark,Managers,2015/07,40,2015-07-01
Portugal,Service and sales workers,2015/07,887,2015-07-01
United Kingdom,Professionals,2015/08,858,2015-08-01
Slovenia,Managers,2015/08,233,2015-08-01
Bulgaria,"Skilled agricultural, forestry and fishery workers",2015/09,94,2015-09-01
Netherlands,Professionals,2015/09,835,2015-09-01
Denmark,Professionals,2015/11,204,2015-11-01
Spain,Technicians and associate professionals,2016/02,10295,2016-02-01
Bulgaria,"Skilled agricultural, forestry and fishery workers",2016/02,108,2016-02-01
Bulgaria,Professionals,2016/03,2286,2016-03-01
Croatia,Clerical support workers,2016/03,1397,2016-03-01
Austria,Professionals,2016/06,463,2016-06-01
Spain,Clerical support workers,2016/09,5379,2016-09-01
Hungary,"Plant and machine operators, and assemblers",2016/10,442,2016-10-01
Bulgaria,Managers,2016/11,764,2016-11-01
Croatia,Technicians and associate professionals,2016/11,3604,2016-11-01
Slovenia,Elementary occupations,2015/05,154,2015-05-01
France,Craft and related trades workers,2015/06,167,2015-06-01
Lithuania,Managers,2015/07,208,2015-07-01
Hungary,Service and sales workers,2015/08,1259,2015-08-01
Spain,"Skilled agricultural, forestry and fishery workers",2016/07,538,2016-07-01
Denmark,"Skilled agricultural, forestry and fishery workers",2015/05,1,2015-05-01
Luxembourg,Technicians and associate professionals,2015/07,16,2015-07-01
Slovakia,Elementary occupations,2016/09,143,2016-09-01
Slovakia,Managers,2015/11,90,2015-11-01
Estonia,Craft and related trades workers,2015/11,96,2015-11-01
Estonia,"Plant and machine operators, and assemblers",2015/03,51,2015-03-01
Luxembourg,"Plant and machine operators, and assemblers",2015/12,1,2015-12-01
Malta,"Plant and machine operators, and assemblers",2016/10,12,2016-10-01
Cyprus,Elementary occupations,2015/09,40,2015-09-01
Estonia,Armed forces occupations,2016/03,1,2016-03-01
Denmark,"Skilled agricultural, forestry and fishery workers",2015/03,1,2015-03-01
Italy,Clerical support workers,2015/05,7216,2015-05-01
Romania,Professionals,2015/05,3169,2015-05-01
Poland,Elementary occupations,2015/06,1022,2015-06-01
Hungary,"Plant and machine operators, and assemblers",2015/06,310,2015-06-01
Poland,Service and sales workers,2015/07,968,2015-07-01
United Kingdom,"Plant and machine operators, and assemblers",2015/09,43,2015-09-01
Lithuania,"Plant and machine operators, and assemblers",2015/10,167,2015-10-01
Slovakia,Elementary occupations,2015/11,111,2015-11-01
Slovakia,Professionals,2015/12,381,2015-12-01
Hungary,Managers,2015/12,537,2015-12-01
Poland,Elementary occupations,2016/02,1346,2016-02-01
Bulgaria,Professionals,2016/04,2313,2016-04-01
Belgium,Craft and related trades workers,2016/09,107,2016-09-01
Bulgaria,Elementary occupations,2016/10,738,2016-10-01
Belgium,Professionals,2016/11,2327,2016-11-01
Lithuania,Elementary occupations,2016/02,245,2016-02-01
Estonia,Technicians and associate professionals,2016/02,218,2016-02-01
Cyprus,Craft and related trades workers,2016/10,33,2016-10-01
Lithuania,Clerical support workers,2016/01,272,2016-01-01
Portugal,Craft and related trades workers,2016/05,532,2016-05-01
Slovenia,Craft and related trades workers,2016/07,206,2016-07-01
Greece,"Skilled agricultural, forestry and fishery workers",2015/10,45,2015-10-01
Estonia,Managers,2016/06,165,2016-06-01
Latvia,Service and sales workers,2015/11,106,2015-11-01
Netherlands,"Skilled agricultural, forestry and fishery workers",2015/05,17,2015-05-01
Denmark,Craft and related trades workers,2016/08,20,2016-08-01
Finland,Elementary occupations,2015/04,302,2015-04-01
Sweden,"Skilled agricultural, forestry and fishery workers",2015/03,7,2015-03-01
Finland,"Skilled agricultural, forestry and fishery workers",2015/09,23,2015-09-01
Luxembourg,Managers,2015/09,17,2015-09-01
Greece,Armed forces occupations,2015/05,3,2015-05-01
Romania,Armed forces occupations,2015/04,4,2015-04-01
Malta,"Skilled agricultural, forestry and fishery workers",2015/04,8,2015-04-01
Denmark,"Skilled agricultural, forestry and fishery workers",2016/03,5,2016-03-01
Luxembourg,"Plant and machine operators, and assemblers",2015/06,1,2015-06-01
Lithuania,Clerical support workers,2015/06,239,2015-06-01
Slovenia,Professionals,2015/07,1160,2015-07-01
Hungary,Technicians and associate professionals,2015/07,1419,2015-07-01
France,Managers,2015/09,1001,2015-09-01
Portugal,Professionals,2015/10,5399,2015-10-01
Lithuania,Service and sales workers,2015/10,261,2015-10-01
Slovakia,"Skilled agricultural, forestry and fishery workers",2015/10,16,2015-10-01
Romania,Service and sales workers,2015/11,1606,2015-11-01
Bulgaria,"Plant and machine operators, and assemblers",2015/12,620,2015-12-01
Italy,Clerical support workers,2016/01,9412,2016-01-01
Bulgaria,Managers,2016/02,663,2016-02-01
Sweden,Professionals,2016/03,679,2016-03-01
Portugal,Clerical support workers,2016/03,1019,2016-03-01
France,Professionals,2016/04,4537,2016-04-01
Bulgaria,Craft and related trades workers,2016/07,755,2016-07-01
Hungary,"Plant and machine operators, and assemblers",2015/04,572,2015-04-01
Netherlands,Service and sales workers,2015/06,193,2015-06-01
Estonia,Managers,2015/12,144,2015-12-01
Estonia,"Plant and machine operators, and assemblers",2016/02,92,2016-02-01
Slovenia,Craft and related trades workers,2016/04,199,2016-04-01
United Kingdom,Managers,2016/06,337,2016-06-01
Estonia,Craft and related trades workers,2015/07,85,2015-07-01
Finland,"Plant and machine operators, and assemblers",2015/08,112,2015-08-01
Slovenia,Craft and related trades workers,2015/03,126,2015-03-01
Austria,Service and sales workers,2016/06,94,2016-06-01
Lithuania,Service and sales workers,2015/12,266,2015-12-01
Belgium,"Skilled agricultural, forestry and fishery workers",2015/05,7,2015-05-01
United Kingdom,"Skilled agricultural, forestry and fishery workers",2016/01,19,2016-01-01
Latvia,"Skilled agricultural, forestry and fishery workers",2015/11,12,2015-11-01
Bulgaria,Armed forces occupations,2016/08,1,2016-08-01
Latvia,"Skilled agricultural, forestry and fishery workers",2015/03,10,2015-03-01
Malta,"Plant and machine operators, and assemblers",2015/05,9,2015-05-01
Luxembourg,Service and sales workers,2015/07,2,2015-07-01
Luxembourg,Craft and related trades workers,2015/04,2,2015-04-01
Bulgaria,Service and sales workers,2015/03,753,2015-03-01
Romania,Clerical support workers,2015/03,1121,2015-03-01
Spain,Clerical support workers,2015/03,3161,2015-03-01
Bulgaria,Technicians and associate professionals,2015/06,1102,2015-06-01
Spain,Craft and related trades workers,2015/08,1642,2015-08-01
Germany,Service and sales workers,2015/08,296,2015-08-01
Estonia,Managers,2015/08,121,2015-08-01
Croatia,Craft and related trades workers,2015/09,1341,2015-09-01
Slovenia,Technicians and associate professionals,2015/09,596,2015-09-01
Poland,Managers,2015/09,526,2015-09-01
Luxembourg,Professionals,2015/11,42,2015-11-01
France,Managers,2015/12,1236,2015-12-01
Italy,Managers,2015/12,3675,2015-12-01
Croatia,Elementary occupations,2015/12,866,2015-12-01
Croatia,Professionals,2015/12,5461,2015-12-01
Portugal,Craft and related trades workers,2016/01,465,2016-01-01
Poland,Professionals,2016/03,3410,2016-03-01
Denmark,Technicians and associate professionals,2016/04,125,2016-04-01
Croatia,Technicians and associate professionals,2016/06,3378,2016-06-01
Portugal,Clerical support workers,2016/06,1059,2016-06-01
Lithuania,Professionals,2016/07,838,2016-07-01
Finland,Technicians and associate professionals,2016/11,952,2016-11-01
Czech Republic,Managers,2016/11,270,2016-11-01
Hungary,Elementary occupations,2016/11,1300,2016-11-01
Czech Republic,Service and sales workers,2016/11,461,2016-11-01
Belgium,"Plant and machine operators, and assemblers",2015/09,43,2015-09-01
Estonia,"Skilled agricultural, forestry and fishery workers",2016/02,35,2016-02-01
Estonia,Service and sales workers,2016/11,231,2016-11-01
France,"Skilled agricultural, forestry and fishery workers",2016/10,59,2016-10-01
Austria,"Plant and machine operators, and assemblers",2016/02,21,2016-02-01
Germany,"Skilled agricultural, forestry and fishery workers",2015/10,19,2015-10-01
Denmark,Clerical support workers,2015/12,64,2015-12-01
Belgium,Craft and related trades workers,2015/03,63,2015-03-01
Luxembourg,Clerical support workers,2016/11,32,2016-11-01
Luxembourg,Professionals,2015/08,34,2015-08-01
Luxembourg,Craft and related trades workers,2015/07,1,2015-07-01
France,Managers,2015/03,781,2015-03-01
Croatia,Clerical support workers,2015/03,939,2015-03-01
Austria,Professionals,2015/05,253,2015-05-01
Spain,Technicians and associate professionals,2015/09,8684,2015-09-01
France,"Plant and machine operators, and assemblers",2015/09,92,2015-09-01
Netherlands,Managers,2015/11,338,2015-11-01
Lithuania,Elementary occupations,2015/11,229,2015-11-01
Poland,Craft and related trades workers,2016/01,1284,2016-01-01
Italy,Clerical support workers,2016/02,9738,2016-02-01
Cyprus,Professionals,2016/02,567,2016-02-01
Malta,Craft and related trades workers,2016/04,11,2016-04-01
Croatia,Elementary occupations,2016/05,991,2016-05-01
Romania,Clerical support workers,2016/09,1922,2016-09-01
Croatia,Managers,2016/09,1450,2016-09-01
Slovakia,Technicians and associate professionals,2016/11,244,2016-11-01
Germany,Professionals,2016/09,2890,2016-09-01
Sweden,Professionals,2015/03,431,2015-03-01
Netherlands,Clerical support workers,2015/07,173,2015-07-01
United Kingdom,Elementary occupations,2015/08,76,2015-08-01
Slovakia,Craft and related trades workers,2015/12,47,2015-12-01
Croatia,"Skilled agricultural, forestry and fishery workers",2015/03,139,2015-03-01
Estonia,Professionals,2016/01,376,2016-01-01
Luxembourg,Managers,2016/06,20,2016-06-01
Slovakia,Technicians and associate professionals,2015/04,296,2015-04-01
Czech Republic,Service and sales workers,2015/05,266,2015-05-01
Slovakia,Service and sales workers,2016/03,124,2016-03-01
Latvia,Elementary occupations,2015/09,89,2015-09-01
Denmark,Technicians and associate professionals,2015/04,132,2015-04-01
France,"Skilled agricultural, forestry and fishery workers",2015/04,50,2015-04-01
Greece,"Skilled agricultural, forestry and fishery workers",2015/05,38,2015-05-01
Poland,Armed forces occupations,2015/05,7,2015-05-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2016/07,2,2016-07-01
Sweden,"Plant and machine operators, and assemblers",2015/06,25,2015-06-01
Malta,"Skilled agricultural, forestry and fishery workers",2015/07,5,2015-07-01
Malta,"Skilled agricultural, forestry and fishery workers",2016/10,5,2016-10-01
Romania,"Plant and machine operators, and assemblers",2015/04,2254,2015-04-01
France,Technicians and associate professionals,2015/06,1121,2015-06-01
Croatia,Clerical support workers,2015/07,1081,2015-07-01
Estonia,Technicians and associate professionals,2015/07,189,2015-07-01
United Kingdom,Technicians and associate professionals,2015/07,359,2015-07-01
Greece,Managers,2015/09,690,2015-09-01
Poland,Clerical support workers,2015/10,1301,2015-10-01
Finland,Elementary occupations,2015/11,209,2015-11-01
Bulgaria,Managers,2016/06,700,2016-06-01
Italy,Service and sales workers,2016/07,8290,2016-07-01
Slovakia,"Plant and machine operators, and assemblers",2016/07,63,2016-07-01
Estonia,Clerical support workers,2015/05,104,2015-05-01
Sweden,Professionals,2015/09,540,2015-09-01
Cyprus,Technicians and associate professionals,2016/04,220,2016-04-01
Malta,Elementary occupations,2015/08,9,2015-08-01
Czech Republic,"Plant and machine operators, and assemblers",2016/07,205,2016-07-01
Malta,Elementary occupations,2016/11,9,2016-11-01
Sweden,"Plant and machine operators, and assemblers",2015/09,27,2015-09-01
Lithuania,"Skilled agricultural, forestry and fishery workers",2015/12,51,2015-12-01
Denmark,Technicians and associate professionals,2016/02,118,2016-02-01
Malta,Technicians and associate professionals,2016/06,57,2016-06-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2015/07,28,2015-07-01
Cyprus,Service and sales workers,2015/06,28,2015-06-01
Cyprus,Service and sales workers,2015/07,32,2015-07-01
Austria,"Plant and machine operators, and assemblers",2016/04,25,2016-04-01
Estonia,Elementary occupations,2015/07,102,2015-07-01
United Kingdom,Elementary occupations,2015/11,82,2015-11-01
Austria,Elementary occupations,2016/03,29,2016-03-01
Slovakia,"Skilled agricultural, forestry and fishery workers",2015/12,21,2015-12-01
Netherlands,Elementary occupations,2015/07,29,2015-07-01
Malta,"Skilled agricultural, forestry and fishery workers",2015/12,5,2015-12-01
Slovakia,"Skilled agricultural, forestry and fishery workers",2015/06,11,2015-06-01
Czech Republic,Professionals,2015/04,1012,2015-04-01
Lithuania,Craft and related trades workers,2015/04,246,2015-04-01
Hungary,"Plant and machine operators, and assemblers",2015/05,294,2015-05-01
United Kingdom,Clerical support workers,2015/05,185,2015-05-01
Germany,Technicians and associate professionals,2015/09,767,2015-09-01
