country,esco,count
Sweden,Technicians and associate professionals,7694
United Kingdom,Clerical support workers,4942
Germany,Service and sales workers,7799
France,Elementary occupations,3513
Spain,Armed forces occupations,30
Germany,Managers,14183
Finland,Technicians and associate professionals,15412
Bulgaria,"Skilled agricultural, forestry and fishery workers",2265
Poland,Clerical support workers,30201
Cyprus,"Skilled agricultural, forestry and fishery workers",156
United Kingdom,Technicians and associate professionals,9534
Latvia,Elementary occupations,2254
Slovakia,Managers,2023
Malta,"Skilled agricultural, forestry and fishery workers",106
France,Clerical support workers,18047
Sweden,Craft and related trades workers,938
Bulgaria,Elementary occupations,13748
Belgium,Professionals,39115
Germany,Elementary occupations,2134
Latvia,Managers,2798
France,"Plant and machine operators, and assemblers",2832
Luxembourg,Technicians and associate professionals,479
Croatia,Service and sales workers,36557
Portugal,"Plant and machine operators, and assemblers",8293
Hungary,Clerical support workers,26919
Czech Republic,Technicians and associate professionals,9728
Slovakia,Professionals,8448
Estonia,Professionals,8276
Austria,Professionals,8142
United Kingdom,Elementary occupations,1958
Latvia,Service and sales workers,2477
Lithuania,Service and sales workers,6238
Germany,Craft and related trades workers,4897
Hungary,Service and sales workers,29179
Portugal,Service and sales workers,23550
Portugal,Managers,20138
Netherlands,"Skilled agricultural, forestry and fishery workers",422
Romania,Elementary occupations,38535
Netherlands,Clerical support workers,4638
Luxembourg,Service and sales workers,112
Latvia,Clerical support workers,2495
Austria,Craft and related trades workers,730
Estonia,"Plant and machine operators, and assemblers",1824
Germany,Clerical support workers,11339
Cyprus,Elementary occupations,902
Sweden,"Skilled agricultural, forestry and fishery workers",186
Latvia,"Plant and machine operators, and assemblers",1895
Estonia,Technicians and associate professionals,4617
Greece,Technicians and associate professionals,41621
France,"Skilled agricultural, forestry and fishery workers",932
United Kingdom,Armed forces occupations,21
Hungary,Technicians and associate professionals,35036
Denmark,Technicians and associate professionals,2276
Greece,Service and sales workers,15841
Croatia,Managers,27555
Belgium,Craft and related trades workers,1941
Italy,Service and sales workers,155316
Belgium,Service and sales workers,6885
Czech Republic,Managers,4326
Netherlands,Armed forces occupations,15
Greece,Professionals,101398
Luxembourg,Managers,388
Estonia,"Skilled agricultural, forestry and fishery workers",729
Hungary,Managers,11878
Finland,Professionals,30846
Bulgaria,"Plant and machine operators, and assemblers",13295
Malta,Managers,997
Germany,Technicians and associate professionals,19275
Portugal,Elementary occupations,9576
Estonia,Managers,3163
Italy,Managers,83024
Czech Republic,Professionals,15621
France,Professionals,85351
Greece,Clerical support workers,22710
Austria,"Plant and machine operators, and assemblers",390
Finland,Craft and related trades workers,3106
Czech Republic,Elementary occupations,5011
Portugal,Craft and related trades workers,10010
Poland,Craft and related trades workers,27031
Sweden,Service and sales workers,6316
Spain,"Skilled agricultural, forestry and fishery workers",10133
Italy,"Plant and machine operators, and assemblers",36138
Czech Republic,Service and sales workers,7776
Poland,Professionals,68830
Austria,Managers,2023
Bulgaria,Professionals,47324
Spain,Elementary occupations,43940
Slovakia,"Plant and machine operators, and assemblers",1119
Luxembourg,Clerical support workers,416
Cyprus,Technicians and associate professionals,4652
France,Managers,27208
United Kingdom,"Skilled agricultural, forestry and fishery workers",498
Portugal,Technicians and associate professionals,59971
Malta,Craft and related trades workers,232
Finland,Elementary occupations,4522
Belgium,"Skilled agricultural, forestry and fishery workers",269
Italy,Professionals,596488
Romania,Technicians and associate professionals,55766
United Kingdom,Craft and related trades workers,1663
Spain,Craft and related trades workers,41081
Denmark,Craft and related trades workers,352
Slovenia,Managers,5746
Malta,Professionals,2886
Hungary,"Plant and machine operators, and assemblers",8267
Cyprus,"Plant and machine operators, and assemblers",302
Spain,Clerical support workers,96909
Denmark,Professionals,5121
Malta,Technicians and associate professionals,1186
Bulgaria,Technicians and associate professionals,29196
Denmark,"Plant and machine operators, and assemblers",167
Slovenia,Elementary occupations,4524
Luxembourg,Elementary occupations,85
Hungary,"Skilled agricultural, forestry and fishery workers",1868
Denmark,Service and sales workers,1481
Malta,Clerical support workers,771
Romania,Armed forces occupations,92
Latvia,"Skilled agricultural, forestry and fishery workers",298
Denmark,Managers,1197
Sweden,Managers,3521
Bulgaria,Managers,13854
Poland,Elementary occupations,27629
